id,Title,Content,SKU,Price,"Sale Price","Product Type",parent_id,"Regular Price","Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Stock Status","Total Sales","Attribute Name (pa_printing-detail)","Attribute Value (pa_printing-detail)","Attribute In Variations (pa_printing-detail)","Attribute Is Visible (pa_printing-detail)","Attribute Is Taxonomy (pa_printing-detail)","Attribute Name (pa_sealant)","Attribute Value (pa_sealant)","Attribute In Variations (pa_sealant)","Attribute Is Visible (pa_sealant)","Attribute Is Taxonomy (pa_sealant)","Attribute Name (pa_weight-color)","Attribute Value (pa_weight-color)","Attribute In Variations (pa_weight-color)","Attribute Is Visible (pa_weight-color)","Attribute Is Taxonomy (pa_weight-color)","Attribute Name (pa_window)","Attribute Value (pa_window)","Attribute In Variations (pa_window)","Attribute Is Visible (pa_window)","Attribute Is Taxonomy (pa_window)","Attribute Name (Custom-printing)","Attribute Value (Custom-printing)","Attribute In Variations (Custom-printing)","Attribute Is Visible (Custom-printing)","Attribute Is Taxonomy (Custom-printing)","Attribute Name (Dropdown-feature)","Attribute Value (Dropdown-feature)","Attribute In Variations (Dropdown-feature)","Attribute Is Visible (Dropdown-feature)","Attribute Is Taxonomy (Dropdown-feature)","Attribute Name (Sealing-method)","Attribute Value (Sealing-method)","Attribute In Variations (Sealing-method)","Attribute Is Visible (Sealing-method)","Attribute Is Taxonomy (Sealing-method)",Excerpt,Permalink,"Attachment URL","Attachment Filename","Attachment Path","Attachment ID","Attachment Title","Attachment Caption","Attachment Description","Attachment Alt Text","Product Categories","Product Tags",Length,Weight,Width,Height,"Purchase Note",Status,Slug
112,"#14 (5 x 11)",,,30,,variable,0,,,,,,,,,,instock,0,printing-detail,"1 Color|2 Color",yes,yes,yes,sealant,"Latex|Regular Gum|Zip Stick",yes,yes,yes,weight-color,"#24 - Blue Wove|#24 - Brown Kraft|#24 - Canary Wove|#24 - Green Wove|#24 - Ivory Wove|#24 - Pink Wove|#24 - White Black Security Tint|#24 - White Blue Security Tint|#24 - White Wove|#28 - Brown Kraft|#28 - Buff Kraft",yes,yes,yes,window,No|Yes,yes,yes,yes,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,no,no,no,,http://azenvelope.youareheremedia.com/product/14-5-x-11/,,,,,,,,,"Custom Commercial Envelopes",,,,,,,private,14-5-x-11
136,"#12 (4 3/4 x 11)",,,30,,variable,0,,,,,,,,,,instock,0,printing-detail,"1 Color|2 Color",yes,yes,yes,sealant,"Latex|Regular Gum|Zip Stick",yes,yes,yes,weight-color,"#24 - Blue Wove|#24 - Brown Kraft|#24 - Canary Wove|#24 - Green Wove|#24 - Ivory Wove|#24 - Pink Wove|#24 - White Black Security Tint|#24 - White Blue Security Tint|#24 - White Wove|#28 - Brown Kraft|#28 - Buff Kraft",yes,yes,yes,window,No|Yes,yes,yes,yes,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,no,no,no,,http://azenvelope.youareheremedia.com/product/12-4-34-x-11-2/,,,,,,,,,"Custom Commercial Envelopes",,,,,,,private,12-4-34-x-11-2
159,"#11 (4 1/2 x 10 3/8)",,,30,,variable,0,,,,,,,,,,instock,0,printing-detail,"1 Color|2 Color",yes,yes,yes,sealant,"Latex|Regular Gum|Zip Stick",yes,yes,yes,weight-color,"#24 - Blue Wove|#24 - Brown Kraft|#24 - Canary Wove|#24 - Green Wove|#24 - Ivory Wove|#24 - Pink Wove|#24 - White Black Security Tint|#24 - White Blue Security Tint|#24 - White Wove|#28 - Brown Kraft|#28 - Buff Kraft",yes,yes,yes,window,No|Yes,yes,yes,yes,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,no,no,no,,http://azenvelope.youareheremedia.com/product/11-4-12-x-10-38-2/,,,,,,,,,"Custom Commercial Envelopes",,,,,,,private,11-4-12-x-10-38-2
172,"#10 (4 1/8 x 9 1/2)",,,30,,variable,0,,,,,,,,,,instock,0,printing-detail,"1 Color|2 Color",yes,yes,yes,sealant,"Latex|Regular Gum|Zip Stick",yes,yes,yes,weight-color,"#24 - Blue Wove|#24 - Brown Kraft|#24 - Canary Wove|#24 - Green Wove|#24 - Ivory Wove|#24 - Pink Wove|#24 - White Black Security Tint|#24 - White Blue Security Tint|#24 - White Wove|#28 - Brown Kraft|#28 - Buff Kraft",yes,yes,yes,window,No|Yes,yes,yes,yes,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,no,no,no,,http://azenvelope.youareheremedia.com/product/10-4-18-x-9-12-3/,,,,,,,,,"Custom Commercial Envelopes",,,,,,,private,10-4-18-x-9-12-3
185,"#9 (3 7/8 x 8 7/8)",,,30,,variable,0,,,,,,,,,,instock,0,printing-detail,"1 Color|2 Color",yes,yes,yes,sealant,"Latex|Regular Gum|Zip Stick",yes,yes,yes,weight-color,"#24 - Blue Wove|#24 - Brown Kraft|#24 - Canary Wove|#24 - Green Wove|#24 - Ivory Wove|#24 - Pink Wove|#24 - White Black Security Tint|#24 - White Blue Security Tint|#24 - White Wove|#28 - Brown Kraft|#28 - Buff Kraft",yes,yes,yes,window,No|Yes,yes,yes,yes,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,no,no,no,,http://azenvelope.youareheremedia.com/product/9-3-78-x-8-78-2/,,,,,,,,,"Custom Commercial Envelopes",,,,,,,private,9-3-78-x-8-78-2
211,"#8 5/8 (3 5/8 x 8 5/8)",,,30,,variable,0,,,,,,,,,,instock,0,printing-detail,"1 Color|2 Color",yes,yes,yes,sealant,"Latex|Regular Gum|Zip Stick",yes,yes,yes,weight-color,"#24 - Blue Wove|#24 - Brown Kraft|#24 - Canary Wove|#24 - Green Wove|#24 - Ivory Wove|#24 - Pink Wove|#24 - White Black Security Tint|#24 - White Blue Security Tint|#24 - White Wove|#28 - Brown Kraft|#28 - Buff Kraft",yes,yes,yes,window,No|Yes,yes,yes,yes,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,no,no,no,,http://azenvelope.youareheremedia.com/product/8-58-3-58-x-8-58-2/,,,,,,,,,"Custom Commercial Envelopes",,,,,,,private,8-58-3-58-x-8-58-2
224,"#6 3/4 (3 5/8 x 6 1/2)",,,30,,variable,0,,,,,,,,,,instock,0,printing-detail,"1 Color|2 Color",yes,yes,yes,sealant,"Latex|Regular Gum|Zip Stick",yes,yes,yes,weight-color,"#24 - Blue Wove|#24 - Brown Kraft|#24 - Canary Wove|#24 - Green Wove|#24 - Ivory Wove|#24 - Pink Wove|#24 - White Black Security Tint|#24 - White Blue Security Tint|#24 - White Wove|#28 - Brown Kraft|#28 - Buff Kraft",yes,yes,yes,window,No|Yes,yes,yes,yes,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,no,no,no,,http://azenvelope.youareheremedia.com/product/6-34-3-58-x-6-12-2/,,,,,,,,,"Custom Commercial Envelopes",,,,,,,private,6-34-3-58-x-6-12-2
237,"#6 1/2 (3 1/2 x 6 1/4)",,,30,,variable,0,,,,,,,,,,instock,0,printing-detail,"1 Color|2 Color",yes,yes,yes,sealant,"Latex|Regular Gum|Zip Stick",yes,yes,yes,weight-color,"#24 - Blue Wove|#24 - Brown Kraft|#24 - Canary Wove|#24 - Green Wove|#24 - Ivory Wove|#24 - Pink Wove|#24 - White Black Security Tint|#24 - White Blue Security Tint|#24 - White Wove|#28 - Brown Kraft|#28 - Buff Kraft",yes,yes,yes,window,No|Yes,yes,yes,yes,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,no,no,no,,http://azenvelope.youareheremedia.com/product/6-12-3-12-x-6-14-2/,,,,,,,,,"Custom Commercial Envelopes",,,,,,,private,6-12-3-12-x-6-14-2
250,"#6-1/4 (3-1/2 x 6)",,,30,,variable,0,,,,,,,,,,instock,0,printing-detail,"1 Color|2 Color",yes,yes,yes,sealant,"Latex|Regular Gum|Zip Stick",yes,yes,yes,weight-color,"#24 - Blue Wove|#24 - Brown Kraft|#24 - Canary Wove|#24 - Green Wove|#24 - Ivory Wove|#24 - Pink Wove|#24 - White Black Security Tint|#24 - White Blue Security Tint|#24 - White Wove|#28 - Brown Kraft|#28 - Buff Kraft",yes,yes,yes,window,No|Yes,yes,yes,yes,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,no,no,no,,http://azenvelope.youareheremedia.com/product/6-14-3-12-x-6-2/,,,,,,,,,"Custom Commercial Envelopes",,,,,,,private,6-14-3-12-x-6-2
437,"#8-5/8 Window","SKU: 858-W
Style: #8-5/8 Commercial
Size: 3-5/8 x 8-5/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1 x 4
Window Position: 1 Left x 3/4 Bottom
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",858-W,25.99,,simple,0,25.99,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-C-10-Standard-Window-Front-Back1.jpg|http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/NI-A-8-5-8-Window1.jpg,NI-C-10-Standard-Window-Front-Back1.jpg|NI-A-8-5-8-Window1.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-C-10-Standard-Window-Front-Back1.jpg|/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/NI-A-8-5-8-Window1.jpg,873|877,"#10 Standard Window -Front-Back|Impact Drawing","#80-Use This One|#31",,,instock,0,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 3-5/8 x 8-5/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Window Size: 1 x 4
Window Position: 1 Left x 3/4 Bottom",http://azenvelope.youareheremedia.com/product/8-58-commercial-858-w/,,,,,,,,,"Stock Size Envelopes",,14,6,10,6,,publish,8-58-commercial-858-w
