id,Title,Content,SKU,Price,"Sale Price","Product Type",parent_id,"Regular Price","Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Stock Status","Total Sales","Attribute Name (pa_printing-detail)","Attribute Value (pa_printing-detail)","Attribute In Variations (pa_printing-detail)","Attribute Is Visible (pa_printing-detail)","Attribute Is Taxonomy (pa_printing-detail)","Attribute Name (pa_sealant)","Attribute Value (pa_sealant)","Attribute In Variations (pa_sealant)","Attribute Is Visible (pa_sealant)","Attribute Is Taxonomy (pa_sealant)","Attribute Name (pa_weight-color)","Attribute Value (pa_weight-color)","Attribute In Variations (pa_weight-color)","Attribute Is Visible (pa_weight-color)","Attribute Is Taxonomy (pa_weight-color)","Attribute Name (pa_window)","Attribute Value (pa_window)","Attribute In Variations (pa_window)","Attribute Is Visible (pa_window)","Attribute Is Taxonomy (pa_window)","Attribute Name (Custom-printing)","Attribute Value (Custom-printing)","Attribute In Variations (Custom-printing)","Attribute Is Visible (Custom-printing)","Attribute Is Taxonomy (Custom-printing)","Attribute Name (Dropdown-feature)","Attribute Value (Dropdown-feature)","Attribute In Variations (Dropdown-feature)","Attribute Is Visible (Dropdown-feature)","Attribute Is Taxonomy (Dropdown-feature)","Attribute Name (Sealing-method)","Attribute Value (Sealing-method)","Attribute In Variations (Sealing-method)","Attribute Is Visible (Sealing-method)","Attribute Is Taxonomy (Sealing-method)",Excerpt,Permalink,"Attachment URL","Attachment Filename","Attachment Path","Attachment ID","Attachment Title","Attachment Caption","Attachment Description","Attachment Alt Text","Product Categories","Product Tags",Length,Weight,Width,Height,"Purchase Note",Status,Slug
438,"#8-5/8 Window Tint","SKU: 858-W-BLT
Style: #8-5/8 Commercial
Size: 3-5/8 x 8-5/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Security Tint: Blue
Window Size: 1 x 4
Window Position: 1 Left x 3/4 Bottom
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",858-W-BLT,27.96,,simple,0,27.96,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/NI-B-8-5-8-Window-Tint1.jpg,NI-B-8-5-8-Window-Tint1.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/NI-B-8-5-8-Window-Tint1.jpg,879,"NI-B 8 5-8 Window Tint",#31,,,instock,0,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 3-5/8 x 8-5/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Security Tint: Blue
Window Size: 1 x 4
Window Position: 1 Left x 3/4 Bottom",http://azenvelope.youareheremedia.com/product/8-58-commercial-858-w-blt/,,,,,,,,,"Stock Size Envelopes",,14,6,10,6,,publish,8-58-commercial-858-w-blt
439,"Drive-Up Teller","SKU: 3347-TEL
Style: Drive-Up Teller
Size: 3-3/4 x 7
Color: White Wove
Paper Weight: 24#
Sealing Method: No-Seal Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",3347-TEL,14.10,,simple,0,14.10,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/Drive-Up.jpg,Drive-Up.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/Drive-Up.jpg,875,"Drive Up","#1511 (Victor Die #111)",,,instock,0,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 3-3/4 x 7
Color: White Wove
Paper Weight: 24#
Sealing Method: No-Seal Gum",http://azenvelope.youareheremedia.com/product/drive-up-teller-3347-tel/,,,,,,,,,"Stock Size Envelopes",,14,7,10,6,,publish,drive-up-teller-3347-tel
441,"A2 Announcement","SKU: A2
Style: A2 Announcement
Size: 4-3/8 x 5-3/4
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",A2,27.73,,simple,0,27.73,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/All-Announcements.jpg,All-Announcements.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/All-Announcements.jpg,884,"All Announcements",P001427,,,instock,0,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 4-3/8 x 5-3/4
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/a2-announcement-a2/,,,,,,,,,"Stock Size Envelopes",,14,4.5,10,6,,publish,a2-announcement-a2
443,"A6 Announcement","SKU: A6
Style: A6 Announcement
Size: 4-3/4 x 6-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",A6,28.71,,simple,0,28.71,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/All-Announcements.jpg,All-Announcements.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/All-Announcements.jpg,884,"All Announcements",P001427,,,instock,0,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 4-3/4 x 6-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/a6-announcement-a6/,,,,,,,,,"Stock Size Envelopes",,14,6,10,6,,publish,a6-announcement-a6
444,"A7 Announcement Machine-able","SKU: A7-MFLAP
Style: A7 Announcement Machine-able
Size: 5-1/4 x 7-1/4
Flap Size: 1-1/4
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",A7-MFLAP,21.32,,simple,0,21.32,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/NI-I-A-7-1-1-4-Flap.jpg,NI-I-A-7-1-1-4-Flap.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/NI-I-A-7-1-1-4-Flap.jpg,885,"A-7 - 1 1-4 Flap","1 5/8 flap",,,instock,0,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 5-1/4 x 7-1/4
Flap Size: 1-1/4
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/a7-announcement-machinable-a7-mflap/,,,,,,,,,"Stock Size Envelopes",,,7.5,,,,publish,a7-announcement-machinable-a7-mflap
445,"A7 Announcement","SKU: A7
Style: A7 Announcement
Size: 5-1/4 x 7-1/4
Flap Size: 2-5/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",A7,21.32,,simple,0,21.32,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/All-Announcements.jpg,All-Announcements.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/All-Announcements.jpg,884,"All Announcements",P001427,,,instock,0,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 5-1/4 x 7-1/4
Flap Size: 2-5/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/a7-announcement-a7/,,,,,,,,,"Stock Size Envelopes",,,7.5,,,,publish,a7-announcement-a7
446,"#6-1/2 Remittance","SKU: 615-REM
Style: #6-1/2 Remittance
Size: 3-1/2 x 6 1/4
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",615-REM,15.20,,simple,0,15.20,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/All-Remittance.jpg,All-Remittance.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/All-Remittance.jpg,886,"All Remittance",P001817,,,instock,5,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,no,yes,no,"Size: 3-1/2 x 6 1/4
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/6-12-remittance-615-rem/,,,,,,,,,"Stock Size Envelopes",,14,5,10,6,,publish,6-12-remittance-615-rem
448,"#9 Remittance","SKU: 9-REM
Style: #9 Remittance
Size: 3-7/8 x 8-7/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",9-REM,19.12,,simple,0,19.12,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/All-Remittance.jpg,All-Remittance.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/All-Remittance.jpg,886,"All Remittance",P001817,,,instock,1,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,no,yes,no,"Size: 3-7/8 x 8-7/8
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/9-remittance-9-rem/,,,,,,,,,"Stock Size Envelopes",,14,7,10,6,,publish,9-remittance-9-rem
449,"6 x 9 Open Side","SKU: 69-OS-WH24
Style: Open Side
Size: 6 x 9
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",69-OS-WH24,18.91,,simple,0,18.91,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/ALL-OPEN-SIDE1.jpg,ALL-OPEN-SIDE1.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/ALL-OPEN-SIDE1.jpg,878,"ALL OPEN SIDE",#138,,,instock,0,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 6 x 9
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/6-9-open-side-69-os-wh24/,,,,,,,,,"Stock Size Envelopes",,14,10,9.125,6.125,,publish,6-9-open-side-69-os-wh24
451,"9 x 12 Open Side","SKU: 912-OS-WH28
Style: Open Side
Size: 9 x 12
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",912-OS-WH28,38.50,,simple,0,38.50,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/ALL-OPEN-SIDE1.jpg,ALL-OPEN-SIDE1.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/ALL-OPEN-SIDE1.jpg,878,"ALL OPEN SIDE",#138,,,instock,0,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 9 x 12
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/9-12-open-side-912-os-wh28/,,,,,,,,,"Stock Size Envelopes",,12.75,21.5,12.25,9,,publish,9-12-open-side-912-os-wh28
452,"9 x 12 Open Side","SKU: 912-OS-BK28
Style: Open Side
Size: 9 x 12
Color: Brown Kraft
Paper Weight: 28#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",912-OS-BK28,48.65,,simple,0,48.65,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/12/aze_new_image.jpg,aze_new_image.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/12/aze_new_image.jpg,1001,aze_new_image,,,,instock,0,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 9 x 12
Color: Brown Kraft
Paper Weight: 28#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/9-12-open-side-912-os-bk28/,,,,,,,,,"Stock Size Envelopes",,12.75,21.5,12.25,9,,publish,9-12-open-side-912-os-bk28
453,"10 x 13 Open Side","SKU: 1013-OS-WH28
Style: Open Side
Size: 10 x 13
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",1013-OS-WH28,44.00,,simple,0,44.00,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/ALL-OPEN-SIDE1.jpg,ALL-OPEN-SIDE1.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/ALL-OPEN-SIDE1.jpg,878,"ALL OPEN SIDE",#138,,,instock,0,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 10 x 13
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/10-13-open-side-1013-os-wh28/,,,,,,,,,"Stock Size Envelopes",,13.25,26,12.75,10,,publish,10-13-open-side-1013-os-wh28
454,"10 x 13 Open End","SKU: 1013-OE-BK28
Style: Open End
Size: 10 x 13
Color: Brown Kraft
Paper Weight: 28#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",1013-OE-BK28,46.55,,simple,0,46.55,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/12/aze_new_image_3.jpg|http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/ALL-OPEN-END.jpg,aze_new_image_3.jpg|ALL-OPEN-END.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/12/aze_new_image_3.jpg|/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/ALL-OPEN-END.jpg,1006|868,"aze_new_image_3|ALL OPEN END",#129,,,instock,2,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 10 x 13
Color: Brown Kraft
Paper Weight: 28#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/10-13-open-end-1013-oe-bk28/,,,,,,,,,"Stock Size Envelopes",,13.25,26.5,12.75,10,,publish,10-13-open-end-1013-oe-bk28
455,"6 x 9 Open End","SKU: 69-OE-WH24
Style: Open End
Size: 6 x 9
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",69-OE-WH24,25.78,,simple,0,25.78,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/ALL-OPEN-END.jpg,ALL-OPEN-END.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/ALL-OPEN-END.jpg,868,"ALL OPEN END",#129,,,instock,0,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 6 x 9
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/6-9-open-end-69-oe-wh24/,,,,,,,,,"Stock Size Envelopes",,14,10,9.125,6.125,,publish,6-9-open-end-69-oe-wh24
457,"9 x 12 Open End","SKU: 912-OE-WH24
Style: Open End
Size: 9 x 12
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",912-OE-WH24,37.27,,simple,0,37.27,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/ALL-OPEN-END.jpg,ALL-OPEN-END.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/ALL-OPEN-END.jpg,868,"ALL OPEN END",#129,,,instock,10,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 9 x 12
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/9-12-open-end-912-oe-wh24/,,,,,,,,,"Stock Size Envelopes",,12.75,19,12.25,9,,publish,9-12-open-end-912-oe-wh24
458,"9 x 12 Open End","SKU: 912-OE-WH28
Style: Open End
Size: 9 x 12
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",912-OE-WH28,38.98,,simple,0,38.98,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/ALL-OPEN-END.jpg,ALL-OPEN-END.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/ALL-OPEN-END.jpg,868,"ALL OPEN END",#129,,,instock,1,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 9 x 12
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/9-12-open-end-912-oe-wh28/,,,,,,,,,"Stock Size Envelopes",,12.75,22.5,12.25,9,,publish,9-12-open-end-912-oe-wh28
459,"9 x 12 Open End","SKU: 912-OE-BK28
Style: Open End
Size: 9 x 12
Color: Brown Kraft
Paper Weight: 28#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",912-OE-BK28,37.67,,simple,0,37.67,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/12/aze_new_image_3.jpg,aze_new_image_3.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/12/aze_new_image_3.jpg,1006,aze_new_image_3,,,,instock,4,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 9 x 12
Color: Brown Kraft
Paper Weight: 28#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/9-12-open-end-912-oe-bk28/,,,,,,,,,"Stock Size Envelopes",,12.75,22.5,12.25,9,,publish,9-12-open-end-912-oe-bk28
460,"9 x 12 Open End","SKU: 912-OE-BU28
Style: Open End
Size: 9 x 12
Color: Buff Kraft
Paper Weight: 28#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",912-OE-BU28,52.13,,simple,0,52.13,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/12/aze_new_image_2.jpg,aze_new_image_2.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/12/aze_new_image_2.jpg,1005,aze_new_image_2,,,,instock,5,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 9 x 12
Color: Buff Kraft
Paper Weight: 28#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/9-12-open-end-912-oe-bu28/,,,,,,,,,"Stock Size Envelopes",,12.75,22.5,12.25,9,,publish,9-12-open-end-912-oe-bu28
461,"9 x 12 Open End Window","SKU: 912-OE-W-WH28
Style: Open End Window
Size: 9 x 12
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum
Window Size: 1-1/4 x 3-3/4
Window Position: 7/8 Left x 8-1/4 Bottom
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",912-OE-W-WH28,54.80,,simple,0,54.80,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/NI-J-9x12-Open-End-Window.jpg,NI-J-9x12-Open-End-Window.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/NI-J-9x12-Open-End-Window.jpg,887,"Impact Drawing",#129,,,instock,0,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 9 x 12
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum
Window Size: 1-1/4 x 3-3/4
Window Position: 7/8 Left x 8-1/4 Bottom",http://azenvelope.youareheremedia.com/product/open-end-912-oe-w-wh28/,,,,,,,,,"Stock Size Envelopes",,12.75,22.5,12.25,9,,publish,open-end-912-oe-w-wh28
462,"10 x 13 Open End","SKU: 1013-OE-WH28
Style: Open End
Size: 10 x 13
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",1013-OE-WH28,44.83,,simple,0,44.83,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/ALL-OPEN-END.jpg,ALL-OPEN-END.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/ALL-OPEN-END.jpg,868,"ALL OPEN END",#129,,,instock,0,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 10 x 13
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/10-13-open-end-1013-oe-wh28/,,,,,,,,,"Stock Size Envelopes",,13.25,26.5,12.75,10,,publish,10-13-open-end-1013-oe-wh28
464,"10 x 13 Open Side","SKU: 1013-OS-BK28
Style: Open Side
Size: 10 x 13
Color: Brown Kraft
Paper Weight: 28#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",1013-OS-BK28,59.77,,simple,0,59.77,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/12/aze_new_image.jpg,aze_new_image.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/12/aze_new_image.jpg,1001,aze_new_image,,,,instock,0,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 10 x 13
Color: Brown Kraft
Paper Weight: 28#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/10-13-open-side-1013-os-bk28/,,,,,,,,,"Stock Size Envelopes",,13.25,26,12.75,10,,publish,10-13-open-side-1013-os-bk28
580,"7-1/2 x 10-1/2 Open End","SKU: 712-OE-WH24
Style: Open End
Size: 7-1/2 x 10-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.

<a class=""tm-section-link"" style=""display: inline;"" href=""#"" data-sectionid=""555360ca3e1db8.27796367"" data-title=""Custom Printing Color"">Custom Printing Color</a>",715-OE-WH24,41.63,,simple,0,41.63,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/ALL-OPEN-END.jpg,ALL-OPEN-END.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/ALL-OPEN-END.jpg,868,"ALL OPEN END",#129,,,instock,0,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"<a href=""http://azenvelope.youareheremedia.com/"">Size:</a> 7-1/2 x 10-1/2
Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/7-12-10-12-open-end-712-oe-wh24/,,,,,,,,,"Stock Size Envelopes",,14,13.5,10,8,,publish,7-12-10-12-open-end-712-oe-wh24
583,"9-1/2 x 12-1/2 Open End","SKU: 915-OE-WH28
Style: Open End
Size: 9-1/2 x 12-1/2
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",915-OE-WH28,49.92,,simple,0,49.92,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/05/ALL-OPEN-END.jpg,ALL-OPEN-END.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/05/ALL-OPEN-END.jpg,868,"ALL OPEN END",#129,,,instock,0,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 9-1/2 x 12-1/2
Color: White Wove
Paper Weight: 28#
Sealing Method: Remoist Gum",http://azenvelope.youareheremedia.com/product/9-12-12-12-open-end-915-oe-wh28/,,,,,,,,,"Stock Size Envelopes",,13.25,24.5,12.75,10,,publish,9-12-12-12-open-end-915-oe-wh28
711,"#10 Regular Tint","Style: #10 Commercial
Size: 4-1/8 x 9-1/2
Paper Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Security Tint: Black
Availability: Plain items usually ship in 1 to 2 business days. Printed items ship an additional 3 to 5 business days.",10-R-BKT,11.62,,simple,0,11.62,http://azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-K-10-Regular-Tint-Front1.jpg,NI-K-10-Regular-Tint-Front1.jpg,/home/azenvelope1/public_html/azenvelope.youareheremedia.com/wp-content/uploads/2015/04/NI-K-10-Regular-Tint-Front1.jpg,870,"#10 Regular Tint -Front",,,,instock,13,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,yes,yes,no,"Size: 4-1/8 x 9-1/2
Paper Color: White Wove
Paper Weight: 24#
Sealing Method: Remoist Gum
Security Tint: Black",http://azenvelope.youareheremedia.com/product/10-commercial-10-r-bkt/,,,,,,,,,"#9 &amp; #10 Envelopes>Regular",,14,7,10,6,,publish,10-commercial-10-r-bkt
1048,test,teset,,1,,simple,0,1,,,,,,,,,instock,2,printing-detail,,no,no,no,sealant,,no,no,no,weight-color,,no,no,no,window,,no,no,no,Custom-printing,,no,no,no,Dropdown-feature,,no,no,no,Sealing-method,,no,no,no,,http://azenvelope.youareheremedia.com/product/test/,,,,,,,,,testing,,,,,,,publish,test
